ID,PARENT_TASK,TASK_NAME,START_DATE,END_DATE,STATUS
74,,Decommission servers,07/30/2020,10/27/2020,Pending
75,18,Measure effectiveness of improved QA,07/30/2020,08/29/2020,Pending
76,33,Response to Customer Feedback,07/30/2020,11/21/2020,Pending
77,33,User acceptance testing,08/14/2020,11/16/2020,Pending
78,79,End-user Training,09/16/2020,11/28/2020,Pending
79,32,Rollout sample applications,11/19/2020,11/30/2020,Pending
72,67,Installation,08/01/2020,08/31/2020,Pending
73,67,Notify users,09/02/2020,09/05/2020,Pending
34,32,Plan production release schedule,06/19/2020,06/19/2020,Closed
37,38,Complete questionnaire,06/15/2020,06/29/2020,On-Hold
59,61,"""Select servers for Development, Test, Production""",05/01/2020,05/06/2020,Closed
3,,HR Support Systems,04/29/2020,09/08/2020,Closed
1,3,HR software upgrades,04/29/2020,08/25/2020,On-Hold
2,3,Arrange for vacation coverage,04/29/2020,06/28/2020,On-Hold
4,44,Complete plan,05/06/2020,06/11/2020,Closed
5,44,Check software licenses,06/09/2020,06/10/2020,Closed
6,36,Create training workspace,05/29/2020,06/05/2020,Closed
7,36,Publish links to self-study courses,05/29/2020,05/29/2020,Closed
8,49,Identify point solutions required,05/31/2020,06/02/2020,Closed
9,49,Install in development,06/04/2020,06/04/2020,Closed
15,17,Identify owners,05/17/2020,05/20/2020,Closed
16,17,Initial Draft Review,05/21/2020,05/21/2020,Closed
17,,Monitor Review Comments,05/21/2020,06/28/2020,Closed
18,,Implement bug tracking software,05/13/2020,05/13/2020,Closed
19,18,Review automated testing tools,05/14/2020,06/12/2020,Closed
20,53,Identify pilot applications,05/08/2020,05/13/2020,Closed
21,53,Migrate pilot applications to,05/18/2020,05/23/2020,Closed
22,28,Customize Software Projects software,06/12/2020,07/18/2020,Open
23,53,Post-migration review,05/29/2020,05/29/2020,Closed
24,23,User acceptance testing,05/31/2020,06/01/2020,Closed
25,28,"""Enter base data (Projects, Milestones, etc.)""",06/07/2020,06/08/2020,Closed
26,28,Load current tasks and enhancements,06/09/2020,06/13/2020,Closed
27,18,Document quality assurance procedures,06/13/2020,07/17/2020,On-Hold
28,,Conduct project kickoff meeting,06/02/2020,06/02/2020,Closed
29,40,Determine host server,06/03/2020,06/04/2020,Closed
30,40,Check software licenses,06/04/2020,06/04/2020,Closed
31,33,Identify pilot users,06/02/2020,06/03/2020,Closed
32,33,Software Deliverable,06/04/2020,06/17/2020,Closed
33,,Early Adopter Release,06/18/2020,06/18/2020,Closed
35,61,Determine midtier configuration(s),04/30/2020,04/30/2020,Closed
36,,Manage Training Activities,05/26/2020,08/01/2020,On-Hold
38,,Review feedback,07/07/2020,07/13/2020,On-Hold
39,38,Plan rollout schedule,07/14/2020,07/22/2020,On-Hold
40,,Plan rollout schedule,06/07/2020,06/30/2020,On-Hold
41,40,Develop web pages,07/08/2020,08/13/2020,On-Hold
42,40,"""Purchase additional software licenses, if needed""",08/15/2020,08/15/2020,On-Hold
43,3,Investigate new Virus Protection software,06/26/2020,07/11/2020,Open
44,,Get RFPs for new server,06/10/2020,07/01/2020,Open
45,46,Collect mission-critical spreadsheets,06/12/2020,08/13/2020,Open
46,,Create  applications from spreadsheets,06/12/2020,11/26/2020,Open
47,46,Lock spreadsheets,06/12/2020,11/26/2020,Open
48,46,Send links to previous spreadsheet owners,06/13/2020,11/28/2020,Open
49,,Customize solutions,06/05/2020,08/28/2020,Open
50,49,Train developers / users,07/08/2020,09/21/2020,Pending
51,49,Implement in Production,06/24/2020,10/30/2020,Open
52,53,Migrate applications,06/12/2020,08/18/2020,Open
53,,Plan migration schedule,06/19/2020,08/30/2020,Open
54,33,Publish Feedback application,06/23/2020,10/31/2020,Open
55,18,Train developers on tracking bugs,07/18/2020,09/06/2020,On-Hold
56,53,End-user Training,06/25/2020,08/20/2020,Open
57,61,Identify server requirements,04/29/2020,04/30/2020,Closed
58,61,Specify security authentication scheme(s),05/01/2020,05/03/2020,Closed
60,61,Create pilot workspace,05/08/2020,05/08/2020,Closed
61,,Configure Workspace provisioning,05/08/2020,05/08/2020,Closed
62,57,Run installation,05/09/2020,05/09/2020,Closed
64,67,Obtain equipment specifications,07/01/2020,07/04/2020,Pending
65,44,Purchase backup server,07/10/2020,08/05/2020,Pending
66,67,Identify integration points,07/06/2020,07/26/2020,Pending
67,,Decommission machines,07/06/2020,07/06/2020,Pending
68,67,Map data usage,07/18/2020,08/30/2020,Pending
69,67,Purchase new machines,08/22/2020,09/16/2020,Pending
70,67,Import data,08/23/2020,09/19/2020,Pending
71,67,Convert processes,07/31/2020,09/28/2020,Pending
